Codigo,Unidade
27847,HOSPITAL VERA CRUZ
27863,HOSPITAL RISOLETA TOLENTINO NEVES
27871,MATERNIDADE OCTAVIANO NEVES
27898,HOSPITAL MATERMED
27952,NEOCENTER
27979,HOSPITAL BELO HORIZONTE
27987,HOSPITAL DA POLICIA MILITAR
27995,HOSPITAL MATER DEI S A MATRIZ
28460,PA PERNAMBUES EDSON T BARBOSA
28568,UNIDADE DE EMERGENCIA DE SAO MARCOS
31518,VIGILANCIA SANITARIA E EPIDEMIOLOGICA
34053,HOSPITAL ESTADUAL DE COVID 19 AME CAMPINAS
39047,UPA 24H DR FERNANDO RODRIGUES LAURIANO
40010,UPA FRANCISCO MORATO
46701,UPA GERALDO REIS RIBEIRO
49867,HOSPITAL AGUAS CLARAS
50571,UPA MARAMBAIA
65137,VIGILANCIA EPIDEMIOLOGICA DE CRICIUMA
65773,UPA 24H DR HAROLDO MARTINS
68519,UPA ITAIPAVA UNIDADE DE PRONTO ATENDIMENTO
69329,UNIDADE DE PRONTO ATENDIMENTO 24H SERGIO DE AZEVEDO SARAIVA
71773,HOSPITAL MUNICIPAL DE NORTELANDIA MT
72966,UPA BOMBINHAS
73482,HOSPITAL REGIONAL DO BAIXO TOCANTINS HOSPITAL SANTA ROSA
75426,HOSPITAL SANTA CARMELA
86126,HOSPITAL DE ENFRENTAMENTO AO CORONAVIRUS DE GOIANIA
88935,HOSPITAL NOSSA SENHORA APARECIDA HNSA
90301,HOSPITAL DE RETAGUARDA DOM VICENTE ZICO
90964,UPA 24H VEREADOR JAIRO JOAQUIM DOS SANTOS
92894,HOSPITAL REGIONAL DO LITORAL NORTE
100358,HOSPITAL DR FRANCISCO ALVES
100587,UPA JURUNAS
101826,HOSPITAL DE CAMPANHA DO RECIFE HPR I AURORA
101834,HOSPITAL DE CAMPANHA DO RECIFE HPR III IMBIRIBEIRA
101842,HOSPITAL DE CAMPANHA DO RECIFE HPR II COELHOS
102075,HOSPITAL MUNICIPAL BELA VISTA SANTA DULCE DOS POBRES
102091,UNIDADE DE TERAPIA INTENSIVA UTI CAR
102105,HOSPITAL MUNICIPAL BRASILANDIA
102547,HOSPITAL DE CAMPANHA COVID 19 DOM ENEMESIO
102741,HOSPITAL DE CAMPANHA COVID 19 ARARAQUARA
103276,CENTRO DE INTERNACAO NORMA PIZZARI GONCALVES
103284,HOSPITAL DE CAMPANHA COVID 19 BELEM
103594,HOSPITAL COVID 19 ITAIGARA
103993,HOSPITAL DE CAMPANHA DO MUNICIPIO DE VARGINHA HCMUV
104515,HOSPITAL DE CAMPANHA COVID 19 SMS NATAL RN
104523,HOSPITAL DE CAMPANHA COVID 19
104701,CENTRAL DE VIGILANCIA EM SAUDE GLORINHA
104884,HOSPITAL DAS CLINICAS DE SAO GONCALO
104906,CENTRO DE ATENDIMENTO COVID 19 ANDRADINA
105058,COVID 19 CENTRO DE COMBATE AO CORONAVIRUS CCC JANDIRA
105317,HOSPITAL MUNICIPAL OCEANICO DR GILSON CANTARINO HMOGC
105457,HOSPITAL DE CAMPANHA COVID 19 IPOJUCA
105597,HOSPITAL DE CAMPANHA COVID 19 OSASCO
105619,HOSPITAL MUNICIPAL COVID 19 DE ITURAMA
105805,HOSPITAL SAO JOSE
106496,HOSPITAL DE CAMPANHA COVID 19 FONTE NOVA
106526,HOSPITAL ESPANHOL
107239,UPA IRMA SILVEIRA
107689,HOSPITAL MUNICIPAL DE CONSELHEIRO LAFAIETE
107972,CENTRO ESPECIALIZADO DE COMBATE AO CORONAVIRUS CECC
108375,HOSPITAL FAMILIA SAGRADA
109258,HOSPITAL MUNICIPAL CASA DE SAUDE ARARUNA
109266,HOSPITAL NAIR ALVES DE SOUZA SMS
110140,UNIDADE DE POLIATENDIMENTO EM SAUDE
110167,HOSPITAL DE CAMPANHA COVID 19 GILBERTO NOVAES
110337,HOSPITAL DE CAMPANHA COVID 19 CENTRO REG DOS CONSORCIOS
111163,HOSPITAL DE CAMPANHA COVID 19
111201,HOSPITAL DE CAMPANHA COVID 19 GIRAU DO PONCIANO
111813,HOSPITAL DE CAMPANHA COVID 19 DE FEIRA NOVA
111856,HOSPITAL COVID 19 GARANHUNS
112062,HOSPITAL DE CAMPANHA RIBEIRAO PIRES
112615,PRONTO ATENDIMENTO SANTO AMARO DE IPITANGA
112666,UNIDADE DE PRONTO ATENDIMENTO UPA
112755,HOSPITAL DE CAMPANHA COVID 19 DE CAETES
113115,HOSPITAL DE RETAGUARDA GONCALENSE
113816,HOSPITAL PROVISORIO DO PAULISTA COVID 19
113891,HOSPITAL DO CANCER E DO CORACAO HCCOR
113913,HOSPITAL DE CAMPANHA COVID 19 DE ALAGOAS DR CELSO TAVARES
113956,HOSPITAL MILITAR DE AREA DE RECIFE
113964,CENTRO MEDICO HOSPITALAR
115444,UNIDADE DE ATENDIMENTO AVANCADO RUI BARBOSA
115509,HOSPITAL DE CLINICAS ANJO GABRIEL
117234,HOSPITAL DE CAMPANHA COVID 19 LEBLON
118095,CENTRO INTERMEDIARIO DE ENFRENTAMENTO AO CORONAVIRUS CIEC
119326,HOSPITAL DE COMBATE A COVID 19
119377,HOSPITAL DE CAMPANHA COVID 19 DE PASSIRA
127248,HOSPITAL DE CAMPANHA SANTA CRUZ DO CAPIBARIBE
127604,HOSPITAL DE RETAGUARDA DO JARDIM PAULISTA
127647,HOSPITAL DE CAMPANHA COVID 19 OURICURI
127752,HOSPITAL DE CAMPANHA MUNICIPAL DE SALGUEIRO
127876,HOSPITAL ESTADUAL COVID 19 BARRADAS
128651,HOSPITAL DE CAMPANHA DE TORITAMA
129968,HOSPITAL DE CAMPANHA COVID 19 QUEIMADOS RJ
130419,HOSPITAL DE CAMPANHA COVID 19
130575,HOSPITAL DE CAMPANHA DE BEZERROS
131202,HOSPITAL COSTA DOS COQUEIROS
131237,HOSPITAL MUNICIPAL SAO JUDAS TADEU
131709,HOSPITAL DE CAMPANHA COVID 19 ILHEUS
133094,HOSPITAL UNIMED CARIRI
134163,HOSPITAL DE CAMPANHA COVID 19 JACAREI
136239,CENTRO DE ATENDIMENTO MUNICIPAL COVID 19
136581,HOSPITAL METROPOLITANO DE ALAGOAS
144975,HOSPITAL DE CAMPANHA CENTRO COVID SANTANA
145602,UTI GRAJAU
145688,UCC UNIDADE DE CONTROLE DO COVID 19
145742,HOSPITAL ESTADUAL DE RETAGUARDA COVID 19
147028,SOCIEDADE HOSPITALAR MARIA VITORIA
147656,SVO DOMICILIAR
147907,HOSPITAL PRONTOVIDA
151475,UPAE GOIANA
152870,ITIBA
153087,HOSPITAL REGIONAL DE ITAPIPOCA
154369,HOSPITAL DE CAMPANHA COVID 19 DE SAO LUIS
155055,MATERNIDADE SANTA CRUZ DA SERRA
156132,UPA 24 HORAS ANTONIO REGINALDO FERNANDES DOS SANTOS
157392,HOSPITAL DE CAMPANHA COVID 19 DE SAO BENEDITO
157414,HOSPITAL DE CAMPANHA COVID 19 PETROLINA
158100,HOSPITAL MUNICIPAL BRIGADEIRO
158119,COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA
161438,HOSPITAL MUNICIPAL GUARAPIRANGA
163538,HOSPITAL MUNICIPAL SAO DOMINGOS
163635,CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19
163864,HOSPITAL REGIONAL DE IVAIPORA
163872,UNIDADE MISTA DE CAMPANHA COVID 19 DE RIACHAO
164542,HOSPITAL MUNICIPAL DO RIBEIRAO
174971,HOSPITAL DE CAMPANHA COVID 19
176664,HOSPITAL DE CAMPANHA CENTRO COVID IV
178047,UPA 24 HORAS
178217,CENTROS DE ATENDIMENTO PARA ENFRENTAMENTO A COVID
179817,HOSPITAL REGIONAL PUBLICO DO TAPAJOS ITAITUBA
180505,HOSPITAL DE FEIRA DE SANTANA
180637,HOSPITAL DR RAIMUNDO LIMA SLZ
181277,NOVAMEDIC MEDICINA DIAGNOSTICA
181331,CENTRO DE REFERENCIA GRIPAL DE BARAO DE GRAJAU
181358,CENTRO DE ATENDIMENTO A COVID I AMARANTE
181927,HOSPITAL REGIONAL NELSON CORNETET
182958,SERVICO DE ATENCAO DOMICILIAR SAD
183229,UPA TIANGUA
184667,CENTRO DE ATENDIMENTO A SINDROME GRIPAL
188425,HOSPITAL REGIONAL DR RUBENS JORGE
188433,UPA DO PACO DO LUMIAR
188581,HOSPITAL FRANCISCA DE SANDE
190802,UNIDADE DE TRATAMENTO AO COVID 19
191787,LEITOS DE ENFERMARIA COVID GRAJAU MA
192465,PRONTO ATENDIMENTO MUNICIPAL DE PATROCINIO DO MURIAE
196231,HOSPITAL REGIONAL DR KLEBER CARVALHO BRANCO
196347,UPA24H DR WALTER LUIZ WINTER MAIA CORONEL FABRICIANO
197831,HOSPITAL DE CAMPANHA COVID 19 CARLOS LOURENCO
199419,UPA CHIQUINHO GUIMARAES
204595,UPA 24H CIDADE BAIXA SANTO ANTONIO
213322,CENTRO DE ATENDIMENTO E ENFRENTAMENTO AO COVID 19
213837,HOSPITAL DE RETAGUARDA DE RONDONIA
213845,HOSPITAL REGIONAL DE GUARAPUAVA
216038,PRONTO ATENDIMENTO NIS I
217883,CENTRO DE ATENDIMENTO COVID 19
218049,CENTRO DE ATENDIMENTO A COVID 19
218669,LEITOS DE RETAGUARDA
219460,CENTRO DE ATENDIMENTO COVID 19
219665,UNIDADE DE PRONTO ATENDIMENTO TOLENTINO OLIVER GUIMARAES
220027,HOSPITAL REGIONAL PUBLICO DE CASTANHAL
220337,HOSPITAL DE CLINICAS DE CAMPINA GRANDE
221015,HOSPITAL MUNICIPAL DR JAQUELINE PRATES CNPJ 31 135 0460001 4
221821,PRONTO ATENDIMENTO MUNICIPAL DE IRATI
222356,NUCLEO DE VIGILANCIA EPIDEMIOLOGICA
225568,SALA DE GRIPE
225886,CENTRO DE ATENDIMENTO COVID 19 DE PONTA DE PEDRAS
226491,HOSPITAL EDUARDO CAMPOS
228192,CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO DO COVID 19
228753,UPA I UNIDADE DE PRONTO ATENDIMENTO
229385,UTI HOSPITAL DE CAMPANHA COVID19
249483,HOSPITAL MUNICIPAL PADRE JULIO CESAR SIQUEIRA
252492,HOSPITAL DE CAMPANHA DO CENTRO MEDICO DA PM
253588,UPA NELSON MANDELA DISTRITO NORTE RIBEIRAO PRETO
253987,HOSPITAL DE TRATAMENTO A COVID 19 DE RONDONIA UNIDADE II
254460,HOSPITAL PUBLICO GERAL DE CASTELO DOS SONHOS
255297,HOSPITAL ESTADUAL COVID 19 BEBEDOURO
258857,HOSPITAL DE CAMPANHA COVID 19
260134,UNIDADE DE INTERNACAO BASICA COVID
262366,UPA 24H ANA MARIA DE MENEZES GARCEZ
262862,HOSPITAL DAS CLINICAS COVID 19 HCC
263672,UNIDADE DE PRONTO ATENDIMENTO ISAIAS CASTRO DE ANDRADE
265500,US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE
271748,HOSPITAL MEDSENIOR VITORIA
282715,HOSPESC HOSPITAL DOS PESCADORES
379808,INSTITUTO ORIZONTI
382698,UPA DR MOISES ELI MAGRISSO
407720,HOSPITAL MUNICIPAL DE PEDIATRIA DR NIVALDO JUNIOR
414301,UPA PROF DR JOAO JOSE CARNEIRO UPA SUMAREZINHO
451126,HOSPITAL DE RETAGUARDA RIO MAINA
453471,SVO SERVICO DE VERIFICACAO DE OBITOS
459631,HOSPITAL MATERNIDADE UNIMED
466611,UPA MOOCA III DOM PAULO EVARISTO ARNS
471755,HOSPITAL DE FORCA AEREA DO GALEAO
473561,HOSPITAL SAINT NICHOLAS MEDICAL
478024,UBS LUZ DA ESPERANCA
478849,UNIDADE DE INTERNACAO FRATERNIDADE COVID 19
507237,HOSPITAL HUMANIZA
547484,HOSPITAL ESTADUAL DO CENTRO NORTE GOIANO
548111,UNIDADE DE SUPORTE VENTILATORIO DE VALERIA
559458,HOSPITAL ESPECIALIZADO SALVADOR
560154,HOSPITAL DE CAMPANHA COVID 19 CHAPECO SC
607126,HOSPITAL METROPOLITANO
622508,HOSPITAL DE CAMPANHA CENTRO DE INICIACAO ESPORTIVA CIE I
625310,HOSPITAL DE CAMPANHA COVID19 REF ESTADUAL EM IMPERATRIZ
625396,UNIDADE DE SUPORTE VENTILATORIO DE VOTUPORANGA
642118,RETAGUARDA HOSP FERNANDO FRANCO HUSE AJU
642800,UNIMED PA MEIER
645818,UNIDADE BASICA DE SAUDE MARIO TOTTA
648582,HOSPITAL ESTADUAL COVID 19 AME ANDRADINA
648892,UNIDADE DE PRONTO ATENDIMENTO DE PITANGUEIRAS
650471,HOSPITAL DE CAMPANHA COVID 19 SANTA CRUZ
650587,HOSPITAL ESTADUAL DE CAMPANHA COVID 19 ITAPEVA
677477,HOSPITAL MUNICIPAL NATAL SUL
678627,LINHARES MEDICAL CENTER S A
679550,SES RJ HOSPITAL ESTADUAL DR RICARDO CRUZ
694622,HOSPITAL ESTADUAL COVID 19 METROPOLITANO SANTA CECILIA
697699,UNIDADE EINSTEIN GOIANIA
705136,HOSPITAL CLARA SANTA
717622,HOSPITAL REFERENCIA COVID
726710,UNIDADE DE TRATAMENTO RESPIRATORIO SANTA IZABEL AJU
734403,HOSPITAL DE CAMPANHA COVID 19 GAMA
755834,HOSPITAL DE CAMPANHA COVID 19 AUTODROMO
756350,UNIDADE AIR
766216,HOSPITAL DE CAMPANHA COVID 19 CEILANDIA
789585,HOSPITAL UNIMED REGIONAL JAU
806285,HOSPITAL REGIONAL DO ALTO SERTAO
812226,UPA CIDADE TIRADENTES
842931,UPA 24HS DE GRAVATA
852074,UPA CITY JARAGUA
854646,ASSOCIACAO HOSPITALAR BENEFICENTE MOACIR MICHELETTO
860638,HOSPITAL HELIO MACEDO
863106,HAPCLINICA OLINDA
873268,UPA JABAQUARA
881503,PRONTO ATENDIMENTO UBDS VILA VIRGINIA
889490,HOSPITAL MANDACARU
902179,UPA CIDADE UNIVERSITARIA
904597,HOSPITAL UNIMED PRIME
911437,HOSPITAL UNIMED
919373,HOSPITAL UNIVERSITARIO REITOR HESIO CORDEIRO
924857,UNIDADE DE PRONTO ATENDIMENTO UPA II CEILANDIA
930075,HOSPITAL CELINA GUIMARAES VIANA
935514,UNIDADE DE PRONTO ATENDIMENTO UPA PARANOA
937495,UPA JARAGUA
945595,UNIDADE DE PRONTO ATENDIMENTO UPA RIACHO FUNDO
965324,HOSPITAL ESTADUAL DA CRIANCA E DO ADOLESCENTE HECAD
969877,UNIDADE DE PRONTO ATENDIMENTO UPA PLANALTINA
974730,UPA PARELHEIROS
990221,UPA NOEL MACEDO DE MELO
993956,SAO LUIZ MATERNIDADE
996068,UNIDADE DE PRONTO ATENDIMENTO UPA VICENTE PIRES
997730,UPA DONA MARIA ANTONIETA FERREIRA DE BARROS
2000083,HOSPITAL DR ABEL PINHEIRO MACIEL FILHO
2000121,HOSPITAL DR SANSAO GOMES
2000180,SANTA CASA DE MISERICORDIA DE CRUZEIRO DO SUL
2000385,HOSPITAL INFANTIL IOLANDA COSTA E SILVA
2000393,HOSPITAL EPAMINONDAS JACOME
2000636,HOSPITAL GERAL DE FEIJO
2000725,HOSPITAL DR ARY RODRIGUES
2000733,MATERNIDADE E CLINICAS DE MULHERES BARBARA HELIODORA
2000865,HOSPITAL JOAO CANCIO FERNANDES
2000997,HOSPITAL DR MANOEL MARINHO MONTE
2001500,HOSPITAL DE CLINICAS RAIMUNDO CHAAR
2001578,HOSPITAL GERAL DE CLINICAS DE RIO BRANCO
2001586,FUNDHACRE
2002078,HOSPITAL SANTA JULIANA
2003775,SANTA CASA DE MISERICORDIA DE PENEDO
2003864,SECRETARIA MUNICIPAL DE SAUDE DE JUNQUEIRO
2004798,III CENTRO DE SAUDE
2005050,HOSPITAL REGIONAL DE ARAPIRACA
2005417,CHAMA
2006197,HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES
2006219,MEDRADIUS
2006359,SANATORIO HOSPITAL GERAL
2006448,HOSPITAL VEREDAS
2006472,HOSPITAL MEMORIAL ARTHUR RAMOS
2006510,HOSPITAL GERAL DO ESTADO DR OSVALDO BRANDAO VILELA
2006960,HOSPITAL VIDA
2007037,SANTA CASA DE MISERICORDIA DE MACEIO
2008459,SECRETARIA MUNICIPAL DE SAUDE DE CAJUEIRO
2008750,UPA 24 HORAS GALBA NOVAES DE CASTRO
2008769,UPA DR CLAUDIO COSTA
2008785,UPA 24 HORAS DR ISMAR GATTO
2009102,SECRETARIA MUNICIPAL DE SAUDE DE JOAQUIM GOMES
2009250,MATERNIDADE ESCOLA SANTA MONICA
2009439,SECRETARIA MUNICIPAL DE SAUDE DE BOCA DA MATA
2009773,SECRETARIA MUNICIPAL DE SAUDE DE MACEIO
2009900,CLINICA INFANTIL DE AL DRA DAISY BREDA
2010151,SANTA CASA DE MISERICORDIA DE SAO MIGUEL DOS CAMPOS
2010356,CARVALHO BELTRAO SERVICOS DE SAUDE LTDA
2010380,HOSPITAL MUNICIPAL DR AUGUSTO DIAS CARDOSO
2010631,HOSPITAL REGIONAL SANTA RITA E MATERNIDADE SANTA OLIMPIA
2011166,HOSPNOSSA SENHORA DE LOURDES E MAT ARMANDO LAGES
2011417,SECRETARIA MUNICIPAL DE SAUDE DE CHA PRETA
2011522,SECRETARIA MUNICIPL DE SAUDE
2011549,SECRETARIA MUNICIPAL DE SAUDE DE MARIBONDO
2011670,SECRETARIA MUNICIPAL DE SAUDE DE BATALHA
2011859,UNIDADE HOSPITALAR DE SAO SEBASTIAO DO UATUMA
2011875,UNIDADE HOSPITALAR DE JUTAI
2011891,HOSPITAL RAIMUNDO RODRIGUES IRMAO
2011905,UNIDADE HOSPITALAR DE NOVA OLINDA DO NORTE
2012022,UNIDADE HOSPITALAR DE BARREIRINHA
2012030,HOSPITAL E P S DA CRIANCA DA ZONA LESTE
2012383,HOSPITAL DE BORBA VO MUNDOCA
2012472,HOSPITAL E PRONTO SOCORRO DA CRIANCA ZONA SUL
2012480,MATERNIDADE MUNICIPAL DR MOURA TAPAJOZ
2012499,UNIDADE HOSPITALAR DE BOCA DO ACRE
