Codigo,Ocupacao
131310,DIRETOR DE INSTITUICAO EDUCACIONAL PUBLICA
131315,GERENTE DE INSTITUICAO EDUCACIONAL DA AREA PRIVADA
131320,GERENTE DE SERVICOS EDUCACIONAIS DA AREA PUBLICA
141105,GERENTE DE PRODUCAO E OPERACOES  AQUICOLAS
141115,GERENTE DE PRODUCAO E OPERACOES AGROPECUARIAS
141205,GERENTE DE PRODUCAO E OPERACOES
141305,GERENTE DE PRODUCAO E OPERACOES DA CONSTRUCAO CIVIL E OBRAS PUBLICAS
141405,COMERCIANTE ATACADISTA
141410,COMERCIANTE VAREJISTA
141415,GERENTE DE LOJA E SUPERMERCADO
141420,GERENTE DE OPERACOES DE SERVICOS DE ASSISTENCIA TECNICA
141505,GERENTE DE HOTEL
141510,GERENTE DE RESTAURANTE
141515,GERENTE DE BAR
141520,GERENTE DE PENSAO
141525,GERENTE DE TURISMO
141605,GERENTE DE OPERACOES DE TRANSPORTES
141610,GERENTE DE OPERACOES DE CORREIOS E TELECOMUNICACOES
141615,GERENTE DE LOGISTICA (ARMAZENAGEM E DISTRIBUICAO)
141705,GERENTE DE PRODUTOS BANCARIOS
141710,GERENTE DE AGENCIA
141720,GERENTE DE CREDITO E COBRANCA
141725,GERENTE DE CREDITO IMOBILIARIO
142105,GERENTE ADMINISTRATIVO
142115,GERENTE FINANCEIRO
142120,TECNOLOGO EM GESTAO ADMINISTRATIVO- FINANCEIRA
142205,GERENTE DE RECURSOS HUMANOS
142210,GERENTE DE DEPARTAMENTO PESSOAL
142305,GERENTE COMERCIAL
142310,GERENTE DE COMUNICACAO
142315,GERENTE DE MARKETING
142320,GERENTE DE VENDAS
142325,RELACOES PUBLICAS
142330,ANALISTA DE NEGOCIOS
142335,ANALISTA DE PESQUISA DE MERCADO
142340,OUVIDOR
142405,GERENTE DE COMPRAS
142410,GERENTE DE SUPRIMENTOS
142415,GERENTE DE ALMOXARIFADO
142510,GERENTE DE DESENVOLVIMENTO DE SISTEMAS
142515,GERENTE DE PRODUCAO DE TECNOLOGIA DA INFORMACAO
142520,GERENTE DE PROJETOS DE TECNOLOGIA DA INFORMACAO
142530,GERENTE DE SUPORTE TECNICO DE TECNOLOGIA DA INFORMACAO
142535,TECNOLOGO EM GESTAO DA TECNOLOGIA DA INFORMACAO
142705,GERENTE DE PROJETOS E SERVICOS DE MANUTENCAO
201110,BIOTECNOLOGISTA
202105,ENGENHEIRO MECATRONICO
202110,ENGENHEIRO DE CONTROLE E AUTOMACAO
202115,TECNOLOGO EM MECATRONICA
202120,TECNOLOGO EM AUTOMACAO INDUSTRIAL
203005,PESQUISADOR EM BIOLOGIA AMBIENTAL
203020,PESQUISADOR EM BIOLOGIA HUMANA
203310,PESQUISADOR DE MEDICINA BASICA
203405,PESQUISADOR EM CIENCIAS AGRONOMICAS
203415,PESQUISADOR EM CIENCIAS DA ZOOTECNIA
203525,PESQUISADOR EM PSICOLOGIA
204105,PERITO CRIMINAL
211105,ATUARIO
211115,MATEMATICO
211205,ESTATISTICO
212205,ENGENHEIRO DE APLICATIVOS EM COMPUTACAO
212210,ENGENHEIRO DE EQUIPAMENTOS EM COMPUTACAO
212215,ENGENHEIROS DE SISTEMAS OPERACIONAIS EM COMPUTACAO
212305,ADMINISTRADOR DE BANCO DE DADOS
212310,ADMINISTRADOR DE REDES
212315,ADMINISTRADOR DE SISTEMAS OPERACIONAIS
212320,ADMINISTRADOR EM SEGURANCA DA INFORMACAO
212405,ANALISTA DE DESENVOLVIMENTO DE SISTEMAS
212410,ANALISTA DE REDES E DE COMUNICACAO DE DADOS
212415,ANALISTA DE SISTEMAS DE AUTOMACAO
212420,ANALISTA DE SUPORTE COMPUTACIONAL
213105,FISICO
213165,FISICO (PARTICULAS E CAMPOS)
213205,QUIMICO
213210,QUIMICO INDUSTRIAL
213215,TECNOLOGO EM PROCESSOS QUIMICOS
213405,GEOLOGO
213440,OCEANOGRAFO
214005,ENGENHEIRO AMBIENTAL
214105,ARQUITETO DE EDIFICACOES
214110,ARQUITETO DE INTERIORES
214115,ARQUITETO DE PATRIMONIO
214120,ARQUITETO PAISAGISTA
214125,ARQUITETO URBANISTA
214130,URBANISTA
214205,ENGENHEIRO CIVIL
214215,ENGENHEIRO CIVIL (EDIFICACOES)
214240,ENGENHEIRO CIVIL (HIDRAULICA)
214280,TECNOLOGO EM CONSTRUCAO CIVIL
214305,ENGENHEIRO ELETRICISTA
214310,ENGENHEIRO ELETRONICO
214320,ENGENHEIRO ELETRICISTA DE PROJETOS
214330,ENGENHEIRO ELETRONICO DE PROJETOS
214335,ENGENHEIRO DE MANUTENCAO DE TELECOMUNICACOES
214340,ENGENHEIRO DE TELECOMUNICACOES
214345,ENGENHEIRO PROJETISTA DE TELECOMUNICACOES
214350,ENGENHEIRO DE REDES DE COMUNICACAO
214360,TECNOLOGO EM ELETRICIDADE
214365,TECNOLOGO EM ELETRONICA
214370,TECNOLOGO EM TELECOMUNICACOES
214405,ENGENHEIRO MECANICO
214410,ENGENHEIRO MECANICO AUTOMOTIVO
214420,ENGENHEIRO MECANICO INDUSTRIAL
214425,ENGENHEIRO AERONAUTICO
214430,ENGENHEIRO NAVAL
214505,ENGENHEIRO QUIMICO
214510,ENGENHEIRO QUIMICO (INDUSTRIA QUIMICA)
214515,"ENGENHEIRO QUIMICO (MINERACAO, METALURGIA, SIDERURGIA, CIMENTEIRA E CERAMICA)"
214530,ENGENHEIRO QUIMICO (UTILIDADES E MEIO AMBIENTE)
214605,ENGENHEIRO DE MATERIAIS
214610,ENGENHEIRO METALURGISTA
214615,TECNOLOGO EM METALURGIA
214725,ENGENHEIRO DE MINAS (PESQUISA MINERAL)
214805,ENGENHEIRO AGRIMENSOR
214905,ENGENHEIRO DE PRODUCAO
214910,ENGENHEIRO DE CONTROLE DE QUALIDADE
214915,ENGENHEIRO DE SEGURANCA DO TRABALHO
214930,TECNOLOGO EM PRODUCAO INDUSTRIAL
214935,TECNOLOGO EM SEGURANCA DO TRABALHO
215105,AGENTE DE MANOBRA E DOCAGEM
215110,CAPITAO DE MANOBRA DA MARINHA MERCANTE
215115,COMANDANTE DA MARINHA MERCANTE
215120,COORDENADOR DE OPERACOES DE COMBATE A POLUICAO NO MEIO AQUAVIARIO
215140,OFICIAL DE QUARTO DE NAVEGACAO DA MARINHA MERCANTE
215145,PRATICO DE PORTOS DA MARINHA MERCANTE
215150,VISTORIADOR NAVAL
215305,PILOTO DE AERONAVES
215310,PILOTO DE ENSAIOS EM VOO
215315,INSTRUTOR DE VOO
221105,BIOLOGO
221205,BIOMEDICO
222105,ENGENHEIRO AGRICOLA
222110,ENGENHEIRO AGRONOMO
222120,ENGENHEIRO FLORESTAL
222205,ENGENHEIRO DE ALIMENTOS
223204,CIRURGIAO DENTISTA - AUDITOR
223208,CIRURGIAO DENTISTA - CLINICO GERAL
223212,CIRURGIAO DENTISTA - ENDODONTISTA
223228,CIRURGIAO DENTISTA - ODONTOGERIATRA
223232,CIRURGIAO DENTISTA - ODONTOLOGISTA LEGAL
223240,CIRURGIAO DENTISTA - ORTOPEDISTA E ORTODONTISTA
223252,CIRURGIAO DENTISTA - PROTESIOLOGO BUCOMAXILOFACIAL
223256,CIRURGIAO DENTISTA - PROTESISTA
223272,CIRURGIAO DENTISTA DE SAUDE COLETIVA
223276,CIRURGIAO DENTISTA - ODONTOLOGIA DO TRABALHO
223280,CIRURGIAO DENTISTA - DENTISTICA
223305,MEDICO VETERINARIO
223310,ZOOTECNISTA
223405,FARMACEUTICO
223415,FARMACEUTICO ANALISTA CLINICO
223445,FARMACEUTICO HOSPITALAR E CLINICO
223505,ENFERMEIRO
223515,ENFERMEIRO DE BORDO
223520,ENFERMEIRO DE CENTRO CIRURGICO
223525,ENFERMEIRO DE TERAPIA INTENSIVA
223560,ENFERMEIRO SANITARISTA
223565,ENFERMEIRO DA ESTRATEGIA DE SAUDE DA FAMILIA
223605,FISIOTERAPEUTA GERAL
223625,FISIOTERAPEUTA RESPIRATORIA
223660,FISIOTERAPEUTA  DO TRABALHO
223710,NUTRICIONISTA
223810,FONOAUDIOLOGO GERAL
223830,FONOAUDIOLOGO EM LINGUAGEM
223905,TERAPEUTA OCUPACIONAL
224115,PREPARADOR DE ATLETA
224120,PREPARADOR FISICO
224130,TECNICO DE LABORATORIO E FISCALIZACAO DESPORTIVA
225103,MEDICO INFECTOLOGISTA
225105,MEDICO ACUPUNTURISTA
225109,MEDICO NEFROLOGISTA
225112,MEDICO NEUROLOGISTA
225120,MEDICO CARDIOLOGISTA
225121,MEDICO ONCOLOGISTA CLINICO
225124,MEDICO PEDIATRA
225125,MEDICO CLINICO
225127,MEDICO PNEUMOLOGISTA
225130,MEDICO DE FAMILIA E COMUNIDADE
225133,MEDICO PSIQUIATRA
225135,MEDICO DERMATOLOGISTA
225139,MEDICO SANITARISTA
225142,MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA
225145,MEDICO EM MEDICINA DE TRAFEGO
225150,MEDICO EM MEDICINA INTENSIVA
225151,MEDICO ANESTESIOLOGISTA
225155,MEDICO ENDOCRINOLOGISTA E METABOLOGISTA
225165,MEDICO GASTROENTEROLOGISTA
225170,MEDICO GENERALISTA
225180,MEDICO GERIATRA
225195,MEDICO HOMEOPATA
225203,MEDICO EM CIRURGIA VASCULAR
225215,MEDICO CIRURGIAO DE CABECA E PESCOCO
225220,MEDICO CIRURGIAO DO APARELHO DIGESTIVO
225225,MEDICO CIRURGIAO GERAL
225235,MEDICO CIRURGIAO PLASTICO
225250,MEDICO GINECOLOGISTA E OBSTETRA
225260,MEDICO NEUROCIRURGIAO
225265,MEDICO OFTALMOLOGISTA
225270,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA
225285,MEDICO UROLOGISTA
225315,MEDICO EM MEDICINA NUCLEAR
225330,MEDICO RADIOTERAPEUTA
225335,MEDICO PATOLOGISTA CLINICO / MEDICINA LABORATORIAL
226305,MUSICOTERAPEUTA
226310,ARTETERAPEUTA
226320,NATUROLOGO
231105,PROFESSOR DE NIVEL SUPERIOR NA EDUCACAO INFANTIL (QUATRO A SEIS ANOS)
231110,PROFESSOR DE NIVEL SUPERIOR NA EDUCACAO INFANTIL (ZERO A TRES ANOS)
231205,PROFESSOR DA  EDUCACAO DE JOVENS E ADULTOS DO ENSINO FUNDAMENTAL (PRIMEIRA A QUARTA SERIE)
231210,PROFESSOR DE NIVEL SUPERIOR DO ENSINO FUNDAMENTAL (PRIMEIRA A QUARTA SERIE)
231305,PROFESSOR DE CIENCIAS EXATAS E NATURAIS DO ENSINO FUNDAMENTAL
231310,PROFESSOR DE EDUCACAO ARTISTICA DO ENSINO FUNDAMENTAL
231315,PROFESSOR DE EDUCACAO FISICA DO ENSINO FUNDAMENTAL
231320,PROFESSOR DE GEOGRAFIA DO ENSINO FUNDAMENTAL
231325,PROFESSOR DE HISTORIA DO ENSINO FUNDAMENTAL
231335,PROFESSOR DE LINGUA PORTUGUESA DO ENSINO FUNDAMENTAL
231340,PROFESSOR DE MATEMATICA DO ENSINO FUNDAMENTAL
232105,PROFESSOR DE ARTES NO ENSINO MEDIO
232110,PROFESSOR DE BIOLOGIA NO ENSINO MEDIO
232115,PROFESSOR DE DISCIPLINAS PEDAGOGICAS NO ENSINO MEDIO
232120,PROFESSOR DE EDUCACAO FISICA NO ENSINO MEDIO
232125,PROFESSOR DE FILOSOFIA NO ENSINO MEDIO
232130,PROFESSOR DE FISICA NO ENSINO MEDIO
232135,PROFESSOR DE GEOGRAFIA NO ENSINO MEDIO
232140,PROFESSOR DE HISTORIA NO ENSINO MEDIO
232145,PROFESSOR DE LINGUA E LITERATURA BRASILEIRA NO ENSINO MEDIO
232155,PROFESSOR DE MATEMATICA NO ENSINO MEDIO
232160,PROFESSOR DE PSICOLOGIA NO ENSINO MEDIO
233105,PROFESSOR DA AREA DE MEIO AMBIENTE
233120,PROFESSOR DE TECNICAS COMERCIAIS E SECRETARIAIS
233205,INSTRUTOR DE APRENDIZAGEM E TREINAMENTO AGROPECUARIO
233210,INSTRUTOR DE APRENDIZAGEM E TREINAMENTO INDUSTRIAL
233215,PROFESSOR DE APRENDIZAGEM E TREINAMENTO COMERCIAL
233225,PROFESSOR INSTRUTOR DE ENSINO E APRENDIZAGEM EM SERVICOS
234110,PROFESSOR DE MATEMATICA PURA (NO ENSINO SUPERIOR)
234115,PROFESSOR DE ESTATISTICA (NO ENSINO SUPERIOR)
234120,PROFESSOR DE COMPUTACAO (NO ENSINO SUPERIOR)
234205,PROFESSOR DE FISICA (ENSINO SUPERIOR)
234310,PROFESSOR DE ENGENHARIA
234320,PROFESSOR DE GEOLOGIA
234405,PROFESSOR DE CIENCIAS BIOLOGICAS DO ENSINO SUPERIOR
234410,PROFESSOR DE EDUCACAO FISICA NO ENSINO SUPERIOR
234440,PROFESSOR DE MEDICINA VETERINARIA
234505,PROFESSOR DE ENSINO SUPERIOR NA AREA DE DIDATICA
234510,PROFESSOR DE ENSINO SUPERIOR NA AREA DE ORIENTACAO EDUCACIONAL
234515,PROFESSOR DE ENSINO SUPERIOR NA AREA DE PESQUISA EDUCACIONAL
234520,PROFESSOR DE ENSINO SUPERIOR NA AREA DE PRATICA DE ENSINO
234616,PROFESSOR DE LINGUA INGLESA
234624,PROFESSOR DE LINGUA PORTUGUESA
234628,PROFESSOR DE LITERATURA BRASILEIRA
234632,PROFESSOR DE LITERATURA PORTUGUESA
234644,PROFESSOR DE LITERATURA ESPANHOLA
234656,PROFESSOR DE LITERATURA ITALIANA
234684,PROFESSOR DE TEORIA DA LITERATURA
234705,PROFESSOR DE ANTROPOLOGIA DO ENSINO SUPERIOR
234710,PROFESSOR DE ARQUIVOLOGIA DO ENSINO SUPERIOR
234725,PROFESSOR DE COMUNICACAO SOCIAL DO ENSINO SUPERIOR
234730,PROFESSOR DE DIREITO DO ENSINO SUPERIOR
234740,PROFESSOR DE GEOGRAFIA DO ENSINO SUPERIOR
234750,PROFESSOR DE JORNALISMO
234760,PROFESSOR DE PSICOLOGIA DO ENSINO SUPERIOR
234770,PROFESSOR DE SOCIOLOGIA DO ENSINO SUPERIOR
234805,PROFESSOR DE ECONOMIA
234810,PROFESSOR DE ADMINISTRACAO
234815,PROFESSOR DE CONTABILIDADE
234910,PROFESSOR DE ARTES VISUAIS NO ENSINO SUPERIOR (ARTES PLASTICAS E MULTIMIDIA)
234915,PROFESSOR DE MUSICA NO ENSINO SUPERIOR
239205,PROFESSOR DE ALUNOS COM DEFICIENCIA AUDITIVA E SURDOS
239210,PROFESSOR DE ALUNOS COM DEFICIENCIA FISICA
239215,PROFESSOR DE ALUNOS COM DEFICIENCIA MENTAL
239405,COORDENADOR PEDAGOGICO
239410,ORIENTADOR EDUCACIONAL
239415,PEDAGOGO
239425,PSICOPEDAGOGO
239430,SUPERVISOR DE ENSINO
239435,DESIGNER EDUCACIONAL
241005,ADVOGADO
241010,ADVOGADO DE EMPRESA
241015,ADVOGADO (DIREITO CIVIL)
241020,ADVOGADO (DIREITO PUBLICO)
241025,ADVOGADO (DIREITO PENAL)
241030,ADVOGADO (AREAS ESPECIAIS)
241035,ADVOGADO (DIREITO DO TRABALHO)
241040,CONSULTOR JURIDICO
241205,ADVOGADO DA UNIAO
241215,PROCURADOR DA FAZENDA NACIONAL
241220,PROCURADOR DO ESTADO
241225,PROCURADOR DO MUNICIPIO
241305,OFICIAL DE REGISTRO DE CONTRATOS MARITIMOS
241315,OFICIAL DO REGISTRO CIVIL DE PESSOAS NATURAIS
241325,OFICIAL DO REGISTRO DE IMOVEIS
241335,TABELIAO DE NOTAS
241340,TABELIAO DE PROTESTOS
242205,PROCURADOR DA REPUBLICA
242210,PROCURADOR DE JUSTICA
242235,PROMOTOR DE JUSTICA
242305,DELEGADO DE POLICIA
242405,DEFENSOR PUBLICO
251105,ANTROPOLOGO
251110,ARQUEOLOGO
251205,ECONOMISTA
251210,ECONOMISTA AGROINDUSTRIAL
251215,ECONOMISTA FINANCEIRO
251220,ECONOMISTA INDUSTRIAL
251225,ECONOMISTA DO SETOR PUBLICO
251305,GEOGRAFO
251405,FILOSOFO
251510,PSICOLOGO CLINICO
251535,PSICOLOGO DO TRANSITO
251545,NEUROPSICOLOGO
251550,PSICANALISTA
251605,ASSISTENTE SOCIAL
251610,ECONOMISTA DOMESTICO
252105,ADMINISTRADOR
252205,AUDITOR (CONTADORES E AFINS)
252210,CONTADOR
252305,SECRETARIA(O) EXECUTIVA(O)
252310,SECRETARIO  BILINGUE
252315,SECRETARIA TRILINGUE
252320,TECNOLOGO EM SECRETARIADO ESCOLAR
252405,ANALISTA DE RECURSOS HUMANOS
252505,ADMINISTRADOR DE FUNDOS E CARTEIRAS DE INVESTIMENTO
252510,ANALISTA DE CAMBIO
252515,ANALISTA DE COBRANCA (INSTITUICOES FINANCEIRAS)
252525,ANALISTA DE CREDITO (INSTITUICOES FINANCEIRAS)
252530,ANALISTA DE CREDITO RURAL
252540,ANALISTA DE PRODUTOS BANCARIOS
252545,ANALISTA FINANCEIRO (INSTITUICOES FINANCEIRAS)
252605,GESTOR EM SEGURANCA
253110,REDATOR DE PUBLICIDADE
253115,AGENTE PUBLICITARIO
253215,GERENTE DE CONTAS - PESSOA FISICA E JURIDICA
253305,"CORRETOR DE VALORES, ATIVOS FINANCEIROS, MERCADORIAS E DERIVATIVOS"
254105,AUDITOR-FISCAL DA RECEITA FEDERAL
254205,AUDITOR-FISCAL DA PREVIDENCIA SOCIAL
254305,AUDITOR-FISCAL DO TRABALHO
254310,AGENTE DE HIGIENE E SEGURANCA
254405,FISCAL DE TRIBUTOS ESTADUAL
254410,FISCAL DE TRIBUTOS MUNICIPAL
254415,TECNICO DE TRIBUTOS ESTADUAL
254420,TECNICO DE TRIBUTOS MUNICIPAL
261105,ARQUIVISTA PESQUISADOR (JORNALISMO)
261110,ASSESSOR DE IMPRENSA
261120,EDITOR
261125,JORNALISTA
261205,BIBLIOTECARIO
261210,DOCUMENTALISTA
261215,ANALISTA DE INFORMACOES (PESQUISADOR DE INFORMACOES DE REDE)
261305,ARQUIVISTA
261310,MUSEOLOGO
261405,FILOLOGO
261420,TRADUTOR
261430,AUDIODESCRITOR
261505,AUTOR-ROTEIRISTA
261515,ESCRITOR DE FICCAO
261520,ESCRITOR DE NAO FICCAO
261605,EDITOR DE JORNAL
261615,EDITOR DE MIDIA ELETRONICA
261710,COMENTARISTA DE RADIO E TELEVISAO
261715,LOCUTOR DE RADIO E TELEVISAO
261720,LOCUTOR PUBLICITARIO DE RADIO E TELEVISAO
261725,NARRADOR EM PROGRAMAS DE RADIO E TELEVISAO
261730,REPORTER DE RADIO E TELEVISAO
261805,FOTOGRAFO
261820,REPORTER FOTOGRAFICO
262105,PRODUTOR CULTURAL
262110,PRODUTOR CINEMATOGRAFICO
262120,PRODUTOR DE TEATRO
262125,PRODUTOR DE TELEVISAO
262310,CENOGRAFO DE CINEMA
262320,CENOGRAFO DE TEATRO
262405,ARTISTA (ARTES VISUAIS)
262410,DESENHISTA INDUSTRIAL GRAFICO (DESIGNER GRAFICO)
262420,DESENHISTA INDUSTRIAL DE PRODUTO (DESIGNER DE PRODUTO)
262425,DESENHISTA INDUSTRIAL DE PRODUTO DE MODA (DESIGNER DE MODA)
262505,ATOR
262605,COMPOSITOR
262610,MUSICO ARRANJADOR
262615,MUSICO REGENTE
262620,MUSICOLOGO
262705,MUSICO INTERPRETE CANTOR
262710,MUSICO INTERPRETE INSTRUMENTISTA
262805,ASSISTENTE DE COREOGRAFIA
262830,PROFESSOR DE DANCA
262905,DECORADOR DE INTERIORES DE NIVEL SUPERIOR
263105,MINISTRO DE CULTO RELIGIOSO
263110,MISSIONARIO
263115,TEOLOGO
271105,CHEFE DE COZINHA
271110,TECNOLOGO EM GASTRONOMIA
300105,TECNICO EM MECATRONICA - AUTOMACAO DA MANUFATURA
300305,TECNICO EM ELETROMECANICA
301105,TECNICO DE LABORATORIO INDUSTRIAL
301110,TECNICO DE LABORATORIO DE ANALISES FISICO-QUIMICAS (MATERIAIS DE CONSTRUCAO)
311105,TECNICO QUIMICO
311110,TECNICO DE CELULOSE E PAPEL
311115,TECNICO EM CURTIMENTO
311305,"TECNICO EM MATERIAIS, PRODUTOS CERAMICOS E VIDROS"
311505,TECNICO DE CONTROLE DE MEIO AMBIENTE
311515,"TECNICO DE UTILIDADE (PRODUCAO E DISTRIBUICAO DE VAPOR, GASES, OLEOS, COMBUSTIVEIS, ENERGIA)"
311625,TECNICO TEXTIL DE TECELAGEM
311705,COLORISTA DE PAPEL
312105,TECNICO DE OBRAS CIVIS
312210,TECNICO DE SANEAMENTO
312305,TECNICO EM AGRIMENSURA
312320,TOPOGRAFO
313105,ELETROTECNICO
313110,ELETROTECNICO (PRODUCAO DE ENERGIA)
313115,"ELETROTECNICO NA FABRICACAO, MONTAGEM E INSTALACAO DE MAQUINAS E EQUIPAMENTOS"
313120,TECNICO DE MANUTENCAO ELETRICA
313125,TECNICO DE MANUTENCAO ELETRICA DE MAQUINA
313130,TECNICO ELETRICISTA
313205,TECNICO DE MANUTENCAO ELETRONICA
313210,TECNICO DE MANUTENCAO ELETRONICA (CIRCUITOS DE MAQUINAS COM COMANDO NUMERICO)
313215,TECNICO ELETRONICO
313220,TECNICO EM MANUTENCAO DE EQUIPAMENTOS DE INFORMATICA
313305,TECNICO DE COMUNICACAO DE DADOS
313310,TECNICO DE REDE (TELECOMUNICACOES)
313315,TECNICO DE TELECOMUNICACOES (TELEFONIA)
313320,TECNICO DE TRANSMISSAO (TELECOMUNICACOES)
313405,TECNICO EM CALIBRACAO
313415,"ENCARREGADO DE MANUTENCAO DE INSTRUMENTOS DE CONTROLE, MEDICAO E SIMILARES"
314105,TECNICO EM MECANICA DE PRECISAO
314110,TECNICO MECANICO
314115,"TECNICO MECANICO (CALEFACAO, VENTILACAO E REFRIGERACAO)"
314120,TECNICO MECANICO (MAQUINAS)
314125,TECNICO MECANICO (MOTORES)
314305,TECNICO EM AUTOMOBILISTICA
314405,TECNICO DE MANUTENCAO DE SISTEMAS E INSTRUMENTOS
314410,TECNICO EM MANUTENCAO DE MAQUINAS
314605,INSPETOR DE SOLDAGEM
314610,TECNICO EM CALDEIRARIA
314620,TECNICO EM SOLDAGEM
314725,TECNICO DE REDUCAO NA SIDERURGIA (PRIMEIRA FUSAO)
314730,TECNICO DE REFRATARIO EM SIDERURGIA
316110,TECNICO EM GEOLOGIA
316330,TECNICO EM PLANEJAMENTO DE LAVRA DE MINAS
317105,PROGRAMADOR DE INTERNET
317110,PROGRAMADOR DE SISTEMAS DE INFORMACAO
317115,PROGRAMADOR DE MAQUINAS - FERRAMENTA COM COMANDO NUMERICO
317120,PROGRAMADOR DE MULTIMIDIA
317205,OPERADOR DE COMPUTADOR (INCLUSIVE MICROCOMPUTADOR)
317210,TECNICO DE APOIO AO USUARIO DE INFORMATICA (HELPDESK)
318005,DESENHISTA TECNICO
318010,DESENHISTA COPISTA
318015,DESENHISTA DETALHISTA
318115,DESENHISTA TECNICO (CONSTRUCAO CIVIL)
318310,"DESENHISTA TECNICO (CALEFACAO, VENTILACAO E REFRIGERACAO)"
318405,DESENHISTA TECNICO (ARTES GRAFICAS)
318505,DESENHISTA PROJETISTA DE ARQUITETURA
318510,DESENHISTA PROJETISTA DE CONSTRUCAO CIVIL
318610,DESENHISTA PROJETISTA MECANICO
318805,PROJETISTA DE MOVEIS
318810,MODELISTA DE ROUPAS
321105,TECNICO AGRICOLA
321110,TECNICO AGROPECUARIO
321205,TECNICO EM MADEIRA
321305,TECNICO EM PISCICULTURA
322105,TECNICO EM ACUPUNTURA
322110,PODOLOGO
322120,MASSOTERAPEUTA
322125,TERAPEUTA HOLISTICO
322130,ESTETICISTA
322135,DOULA
322205,TECNICO DE ENFERMAGEM
322210,TECNICO DE ENFERMAGEM DE TERAPIA INTENSIVA
322225,INSTRUMENTADOR CIRURGICO
322230,AUXILIAR DE ENFERMAGEM
322235,AUXILIAR DE ENFERMAGEM DO TRABALHO
322245,TECNICO DE ENFERMAGEM DA ESTRATEGIA DE SAUDE DA FAMILIA
322250,AUXILIAR DE ENFERMAGEM DA ESTRATEGIA DE SAUDE DA FAMILIA
322305,TECNICO EM OPTICA E OPTOMETRIA
322405,TECNICO EM SAUDE BUCAL
322410,PROTETICO DENTARIO
322415,AUXILIAR EM SAUDE BUCAL
322420,AUXILIAR DE PROTESE DENTARIA
